CourseCode,CourseTitle
XC5151,Digital Systems 
XC5152,Problem Solving and C Programming 
XC5161,C Programming Laboratory 
XC5251,Object Oriented Programming in C++ 
XC5252,Data Structures 
XC5253,Computer Architecture 
XC5261,Data Structures Laboratory 
MA5351,Logic and Abstract Algebra 
XC5351,Combinatorics and Graph Theory 
XC5352,Microprocessor and Applications 
XC5353,Operating Systems 
XC5354,Signals and Systems 
XC5361,Operating Systems Laboratory 
XC5362,Python Programming Laboratory 
MA5451,Probability and Statistics 
XC5451,Theory of Computation 
XC5452,Database Management Systems 
XC5453,Java and Internet Programming 
XC5454,Computer Networks 
XC5461,Java and Internet Programming Laboratory 
XC5462,Database Management Systems Laboratory 
XC5463,Computational Laboratory using R 
XT5501,Advanced Database Management Systems 
XC5551,Software Engineering 
XT5551,Data Warehousing and Mining 
XC5552,Design and Analysis of Algorithms 
XC5561,Software Development Laboratory 
XC5651,Operations Research 
XT5601,Computer Graphics and Multimedia 
XT5651,Web Technology 
XC5652,Artificial Intelligence 
XT5611,Computer Graphics and Multimedia Laboratory 
MA5851,Advanced Statistical Methods for Computing 
XT5851,Big Data Analytics 
XT5852,Distributed and Cloud Computing 
GE5851,Environmental Science and Engineering 
MA5951,Numerical Methods 
XT5951,Internet Of Things 
XC5951,Advanced Machine Learning Techniques 
MA5961,Numerical Methods Laboratory 
XT5961,Internet Of Things Laboratory 
