Degree,Branch,CourseCode,DegreeType,Department
M.Sc. (5 Years Integrated),IT,XT5612,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5711,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5811,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5011,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,HS5152,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,MA5151,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,PH5152,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,HS5161,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,CY5253,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,HS5252,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,MA5251,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,MA5891,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,MA5991,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5071,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,MA5071,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5072,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5073,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5074,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5071,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5072,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5075,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5076,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5077,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5078,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5079,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5073,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5080,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5074,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5081,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5082,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5083,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5084,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5085,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5086,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5087,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5088,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5075,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5089,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5076,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5077,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5090,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5091,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5092,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XC5078,Regular,Mathematics
M.Sc. (5 Years Integrated),IT,XT5093,Regular,Mathematics
